STATUS,UNIVERSITY NAME,FACULTY NAME,LEVEL TYPE,YEARS,BRANCH TYPE,CATEGORY NAME,SERIES NAME,SUB SERIES NAME,COLOR,PROD SUM PRICE,PROD TOTAL AMT,INSTALL NUM,INSTALL SUM FINAL,HP VAT SUM
Overdue 1,มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต,นิเทศศาสตร์/สื่อสารมวลชน/ออกแบบนิเทศศิลป์,ปริญญาตรี,2,1.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,256GB,Space Black,47690,47690,18,2819.45,50750.1
Overdue 1,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,นิเทศศาสตร์/สื่อสารมวลชน/ออกแบบนิเทศศิลป์,ปริญญาตรี,4,1.0,Smart Phone,iPhone 11 (New Box) 128GB,128GB,Black,19200,19200,9,2221.33,19991.97
Overdue 1,มหาวิทยาลัยรังสิต,มนุษศาสตร์/สังคมศาสตร์/สังคมสงเคราะห์,ปริญญาตรี,1,1.0,Smart Phone,iPhone 11 (New Box) 128GB,128GB,White,19200,19200,12,1768,21216
Overdue 1,มหาวิทยาลัยศิลปากร วังท่าพระ,วิจิตรศิลป์/มัณฑนศิลป์/จิตรกรรม/สถาปัตยกรรม/โบราณคดี,ปริญญาตรี,1,2.0,Smart Phone,iPhone 14,128GB,Blue,29500,29500,24,1671.67,40120.08
Overdue 1,มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์ วิทยาเขตวังไกลกังวล,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,4,2.0,Smart Phone,iPhone 11 (New Box) 64GB,64GB,Black,16900,20690,24,1172.43,28138.32
Overdue 1,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,นิติวิทยาศาสตร์/วิทยาศาสตร์,ปริญญาตรี,2,2.0,Smart Phone,iPhone 14 Plus,128GB,Starlight,36200,36200,24,2051.33,49231.92
Overdue 1,มหาวิทยาลัยเชียงใหม่,วิศวกรรมศาสตร์​,ปริญญาตรี,2,1.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Deep Purple,43690,43690,24,2330.13,55923.12
Overdue 1,มหาวิทยาลัยราชภัฏสุราษฎ์ธานี,การจัดการ,ปริญญาตรี,2,3.0,Smart Phone,iPhone 13,128GB,Starlight,26900,26900,24,1524.33,36583.92
Overdue 1,มหาวิทยาลัยราชภัฏมหาสารคาม,วิศวกรรมศาสตร์​,ปริญญาตรี,3,3.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Deep Purple,43690,43690,18,1908.37,34350.66
Overdue 1,มหาวิทยาลัยสวนดุสิต,การจัดการ,ปริญญาตรี,1,1.0,Smart Phone,iPhone 11 (New Box) 64GB,64GB,White,16900,16900,18,1157.18,20829.24
Overdue 1,มหาวิทยาลัยแม่ฟ้าหลวง เชียงราย,นิติวิทยาศาสตร์/วิทยาศาสตร์,ปริญญาตรี,3,3.0,Smart Phone,iPhone 14 Plus,128GB,Starlight,36200,36200,24,1813.33,43519.92
Overdue 1,สถาบันบัณฑิตพัฒนศิลป์,ดุริยางคศิลป์/ดนตรี/การแสดง/นาฏศิลป์,ปริญญาตรี,4,3.0,Smart Phone,iPhone 14 Plus,128GB,Starlight,36200,36200,18,2478.7,44616.6
Overdue 1,มหาวิทยาลัยราชภัฏเชียงราย,รัฐประศาสนศาสตร์/ตำรวจ,ปริญญาตรี,4,1.0,Smart Phone,iPhone 14,256GB,Blue,33500,37290,24,1819.33,43663.92
