STATUS,UNIVERSITY NAME,FACULTY NAME,LEVEL TYPE,YEARS,BRANCH TYPE,CATEGORY NAME,SERIES NAME,SUB SERIES NAME,COLOR,PROD SUM PRICE,PROD TOTAL AMT,INSTALL NUM,INSTALL SUM FINAL,HP VAT SUM
Wait Welcome Call,มหาวิทยาลัยราชภัฏเชียงใหม่,การจัดการ,ปริญญาตรี,3,3.0,Smart Phone,iPhone 11 (New Box) 128GB,128GB,Black,19200,19200,12,1768,21216
Wait Welcome Call,จุฬาลงกรณ์มหาวิทยาลัย,นิติศาสตร์​,ปริญญาตรี,4,1.0,Smart Phone,iPhone 14,128GB,Blue,31200,31200,24,1646.67,39520.08
Wait Welcome Call,จุฬาลงกรณ์มหาวิทยาลัย,นิเทศศาสตร์/สื่อสารมวลชน/ออกแบบนิเทศศิลป์,ปริญญาตรี,2,3.0,Smart Phone,iPhone 14,256GB,Purple,35200,35200,24,1994.66,47871.84
Wait Welcome Call,จุฬาลงกรณ์มหาวิทยาลัย,บัณฑิตศึกษา,ปริญญาเอก,1,2.0,Smart Phone,iPhone 13,128GB,Starlight,28500,28500,12,2624.38,31492.56
Wait Welcome Call,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาศาสตร์การกีฬา/พลศึกษา,ปริญญาตรี,2,2.0,Smart Phone,iPhone 11 (New Box) 128GB,128GB,Black,19200,19200,24,1088,26112
Overdue 1,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาศาสตร์การกีฬา/พลศึกษา,ปริญญาตรี,2,3.0,Smart Phone,iPhone 13,128GB,Green,28500,28500,12,2600,31200
Overdue 1,จุฬาลงกรณ์มหาวิทยาลัย,วิทยาศาสตร์และเทคโนโลยี/วิทยาการคอม,ปริญญาตรี,1,3.0,Tablet,iPad 10.2-inch Wi-Fi (9th Gen),256GB,Silver,18100,21559,12,1360.56,16326.72
Wait Welcome Call,จุฬาลงกรณ์มหาวิทยาลัย,ศึกษาศาสตร์/ครุศาสตร์,ปริญญาตรี,6,1.0,Smart Phone,iPhone 14,128GB,Purple,31200,31200,18,2136.33,38453.94
Wait Welcome Call,จุฬาลงกรณ์มหาวิทยาลัย,ศึกษาศาสตร์/ครุศาสตร์,ปริญญาตรี,5,1.0,Smart Phone,iPhone 13,128GB,Pink,28500,28500,9,3198.62,28787.58
Overdue 1,จุฬาลงกรณ์มหาวิทยาลัย,เศรษฐศาสตร์,ปริญญาตรี,1,3.0,Smart Phone,iPhone 14,128GB,Starlight,31200,31200,24,1768,42432
Overdue 1,มหาวิทยาลัยรังสิต,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,3,1.0,Smart Phone,iPhone 11 (New Box) 64GB,64GB,White,16900,16900,12,1505.83,18069.96
Wait Welcome Call,มหาวิทยาลัยรังสิต,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,1,1.0,Smart Phone,iPhone 11 (New Box) 64GB,64GB,Black,16900,16900,18,1157.18,20829.24
Overdue 1,มหาวิทยาลัยรังสิต,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,2,1.0,Tablet,iPad Air 10.9-inch Wi-Fi (5th Gen),64GB,Space Gray,21900,21900,18,1039.16,18704.88
Wait Welcome Call,มหาวิทยาลัยรังสิต,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,1,1.0,Smart Phone,iPhone 13,128GB,Midnight,28500,28500,24,1615,38760
Wait Welcome Call,มหาวิทยาลัยรังสิต,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,3,3.0,Smart Phone,iPhone 14 Plus,128GB,Blue,37900,37900,18,2595.1,46711.8
Wait Welcome Call,มหาวิทยาลัยรังสิต,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,2,3.0,Smart Phone,iPhone 14 Pro + 20W USB-C Power Adapter,128GB,Silver,40690,40690,18,2069.48,37250.64
Wait Welcome Call,มหาวิทยาลัยรังสิต,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,2,1.0,Tablet,iPad Air 10.9-inch Wi-Fi (5th Gen),256GB,Pink,27900,32490,24,1841.1,44186.4
Wait Welcome Call,มหาวิทยาลัยรังสิต,การสื่อสารดิจิทัล/มัลติมีเดีย/คอมพิวเตอร์กราฟฟิก/แฟชั่นและสิ่งทอ/เทคโนโลยีสารสนเทศ,ปริญญาตรี,3,1.0,Laptop,MacBook Air 13: M1 chip 8C CPU/7C GPU/8GB/256GB - 2020,256GB,Space Grey,28200,28200,18,1788.33,32189.94
Overdue 1,มหาวิทยาลัยรังสิต,การสื่อสารดิจิทัล/มัลติมีเดีย/คอมพิวเตอร์กราฟฟิก/แฟชั่นและสิ่งทอ/เทคโนโลยีสารสนเทศ,ปริญญาตรี,2,2.0,Smart Phone,iPhone 13,128GB,Midnight,28500,28500,18,1951.46,35126.28
Overdue 1,มหาวิทยาลัยรังสิต,ดุริยางคศิลป์/ดนตรี/การแสดง/นาฏศิลป์,ปริญญาตรี,4,1.0,Smart Phone,iPhone 13,128GB,Blue,28500,28500,18,1951.46,35126.28
Wait Welcome Call,มหาวิทยาลัยรังสิต,นิติวิทยาศาสตร์/วิทยาศาสตร์,ปริญญาตรี,3,1.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Space Black,43690,43690,24,2246,53904
Wait Welcome Call,มหาวิทยาลัยรังสิต,นิติศาสตร์​,ปริญญาตรี,1,1.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Deep Purple,43690,43690,24,2330.13,55923.12
Wait Welcome Call,มหาวิทยาลัยรังสิต,นิติศาสตร์​,ปริญญาตรี,1,1.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Deep Purple,43690,43690,24,2330.13,55923.12
Wait Welcome Call,มหาวิทยาลัยรังสิต,นิเทศศาสตร์/สื่อสารมวลชน/ออกแบบนิเทศศิลป์,ปริญญาตรี,3,1.0,Smart Phone,iPhone 14 Plus,128GB,Midnight,37900,37900,18,1441.94,25954.92
Overdue 1,มหาวิทยาลัยรังสิต,นิเทศศาสตร์/สื่อสารมวลชน/ออกแบบนิเทศศิลป์,ปริญญาตรี,3,1.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,256GB,Deep Purple,47690,47690,24,2333.34,56000.16
Overdue 1,มหาวิทยาลัยรังสิต,นิเทศศาสตร์/สื่อสารมวลชน/ออกแบบนิเทศศิลป์,ปริญญาตรี,1,2.0,Smart Phone,iPhone 14 Pro + 20W USB-C Power Adapter,256GB,Deep Purple,44690,44690,24,2333.34,56000.16
Wait Welcome Call,มหาวิทยาลัยรังสิต,นิเทศศาสตร์/สื่อสารมวลชน/ออกแบบนิเทศศิลป์,ปริญญาตรี,2,1.0,Laptop,MacBook Air 13 : M2 chip 8C CPU/10C GPU/8GB - 2022,512GB,Midnight,51400,51400,18,2046.11,36829.98
Wait Welcome Call,มหาวิทยาลัยรังสิต,นิเทศศาสตร์/สื่อสารมวลชน/ออกแบบนิเทศศิลป์,ปริญญาตรี,2,1.0,Smart Phone,iPhone 13,128GB,Midnight,28500,28500,24,1615,38760
Overdue 1,มหาวิทยาลัยรังสิต,นิเทศศาสตร์/สื่อสารมวลชน/ออกแบบนิเทศศิลป์,ปริญญาตรี,2,1.0,Laptop,MacBook Air 13 : M2 chip 8C CPU/10C GPU/8GB - 2022,512GB,Midnight,51400,51400,24,2333.34,56000.16
Overdue 1,มหาวิทยาลัยรังสิต,นิเทศศาสตร์/สื่อสารมวลชน/ออกแบบนิเทศศิลป์,ปริญญาตรี,3,1.0,Smart Phone,iPhone 14 Pro + 20W USB-C Power Adapter,128GB,Space Black,40690,40690,24,2170.13,52083.12
Wait Welcome Call,มหาวิทยาลัยรังสิต,นิเทศศาสตร์/สื่อสารมวลชน/ออกแบบนิเทศศิลป์,ปริญญาตรี,4,1.0,Smart Phone,iPhone 13,128GB,Midnight,28500,28500,18,1951.46,35126.28
Overdue 1,มหาวิทยาลัยรังสิต,บริหารธุรกิจ,ปริญญาตรี,2,3.0,Smart Phone,iPhone 13,128GB,Midnight,28500,32290,24,1829.76,43914.24
Overdue 1,มหาวิทยาลัยรังสิต,บริหารธุรกิจ,ปริญญาตรี,1,1.0,Smart Phone,iPhone 13,128GB,Starlight,28500,28500,24,1615,38760
Overdue 1,มหาวิทยาลัยรังสิต,บริหารธุรกิจ,ปริญญาตรี,2,1.0,Smart Phone,iPhone 14,128GB,Blue,31200,31200,18,1868.89,33640.02
Overdue 1,มหาวิทยาลัยรังสิต,บริหารธุรกิจ,ปริญญาตรี,1,2.0,Smart Phone,iPhone 13 mini,128GB,Green,24900,24900,18,1704.96,30689.28
Overdue 1,มหาวิทยาลัยรังสิต,บริหารธุรกิจ,ปริญญาตรี,1,3.0,Tablet,iPad 10.9-inch Wi-Fi 2022 (10th Gen),64GB,Silver,16700,16700,18,1143.49,20582.82
Wait Welcome Call,มหาวิทยาลัยรังสิต,บริหารธุรกิจ,ปริญญาตรี,1,1.0,Tablet,iPad Air 10.9-inch Wi-Fi (5th Gen),64GB,Purple,21900,26490,9,3064.75,27582.75
Wait Welcome Call,มหาวิทยาลัยรังสิต,บริหารธุรกิจ,ปริญญาตรี,1,1.0,Tablet,iPad Air 10.9-inch Wi-Fi (5th Gen),256GB,Space Gray,27900,35480,24,2010.53,48252.72
Wait Welcome Call,มหาวิทยาลัยรังสิต,บริหารธุรกิจ,ปริญญาตรี,2,1.0,Tablet,iPad 10.9-inch Wi-Fi 2022 (10th Gen),64GB,Pink,16700,20159,12,1856.31,22275.72
Wait Welcome Call,มหาวิทยาลัยรังสิต,บัญชี,ปริญญาตรี,2,1.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Gold,43690,43690,18,2639.6,47512.8
Wait Welcome Call,มหาวิทยาลัยรังสิต,พยาบาล,ปริญญาตรี,2,1.0,Smart Phone,iPhone 14 Pro + 20W USB-C Power Adapter,128GB,Space Black,40690,40690,24,2170.13,52083.12
Overdue 1,มหาวิทยาลัยรังสิต,พยาบาล,ปริญญาตรี,3,1.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Silver,43690,43690,18,2815.58,50680.44
Wait Welcome Call,มหาวิทยาลัยรังสิต,พยาบาล,ปริญญาตรี,2,1.0,Smart Phone,iPhone 11 (New Box) 128GB,128GB,White,19200,19200,18,1224.44,22039.92
Overdue 1,มหาวิทยาลัยรังสิต,รัฐศาสตร์/การเมือง/การปกครอง,ปริญญาตรี,3,1.0,Smart Phone,iPhone 13,128GB,Blue,28500,28500,24,1233.34,29600.16
Overdue 1,มหาวิทยาลัยรังสิต,รัฐศาสตร์/การเมือง/การปกครอง,ปริญญาตรี,2,1.0,Smart Phone,iPhone 14,128GB,Starlight,31200,31200,24,1560,37440
Wait Welcome Call,มหาวิทยาลัยรังสิต,รัฐศาสตร์/การเมือง/การปกครอง,ปริญญาตรี,2,1.0,Smart Phone,iPhone 14 Pro + 20W USB-C Power Adapter,128GB,Silver,40690,40690,18,2458.36,44250.48
Wait Welcome Call,มหาวิทยาลัยรังสิต,รัฐศาสตร์/การเมือง/การปกครอง,ปริญญาตรี,1,1.0,Tablet,iPad Air 10.9-inch Wi-Fi (5th Gen),256GB,Space Gray,27900,32490,24,1624.5,38988
Wait Welcome Call,มหาวิทยาลัยรังสิต,วิจิตรศิลป์/มัณฑนศิลป์/จิตรกรรม/สถาปัตยกรรม/โบราณคดี,ปริญญาตรี,1,1.0,Smart Phone,iPhone 13,128GB,Pink,28500,28500,24,1615,38760
Wait Welcome Call,มหาวิทยาลัยรังสิต,วิศวกรรมศาสตร์​,ปริญญาตรี,1,1.0,Tablet,iPad Pro 11-inch Wi-Fi 2022 (4th Gen),128GB,Space Gray,30800,35390,18,2138.15,38486.7
Wait Welcome Call,มหาวิทยาลัยรังสิต,วิศวกรรมศาสตร์​,ปริญญาตรี,1,1.0,Tablet,iPad Air 10.9-inch Wi-Fi (5th Gen),64GB,Starlight,21900,26490,24,1324.5,31788
Wait Welcome Call,มหาวิทยาลัยรังสิต,วิศวกรรมศาสตร์​,ปริญญาตรี,3,1.0,Tablet,iPad Pro 11-inch Wi-Fi + Cellular 2022 (4th Gen),128GB,Space Gray,36900,36900,24,1845,44280
Overdue 1,มหาวิทยาลัยรังสิต,วิศวกรรมศาสตร์​,ปริญญาตรี,1,1.0,Tablet,iPad Pro 11-inch Wi-Fi 2022 (4th Gen),256GB,Space Gray,34800,39390,18,2379.81,42836.58
Wait Welcome Call,มหาวิทยาลัยรังสิต,อักษรศาสตร์/ศิลปกรรมศาสตร์,ปริญญาตรี,2,3.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Silver,43690,43690,18,2552.81,45950.58
Overdue 1,มหาวิทยาลัยรังสิต,อักษรศาสตร์/ศิลปกรรมศาสตร์,ปริญญาตรี,1,1.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Deep Purple,43690,43690,24,2330.13,55923.12
Overdue 1,มหาวิทยาลัยรังสิต,อักษรศาสตร์/ศิลปกรรมศาสตร์,ปริญญาตรี,1,1.0,Smart Phone,iPhone 11 (New Box) 128GB,128GB,White,19200,19200,18,1314.67,23664.06
Overdue 1,มหาวิทยาลัยรังสิต,อักษรศาสตร์/ศิลปกรรมศาสตร์,ปริญญาตรี,1,1.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Gold,43690,43690,18,2815.58,50680.44
Overdue 1,มหาวิทยาลัยรังสิต,อักษรศาสตร์/ศิลปกรรมศาสตร์,ปริญญาตรี,1,1.0,Smart Phone,iPhone 13,128GB,Starlight,28500,28500,24,1615,38760
Wait Welcome Call,มหาวิทยาลัยรังสิต,อักษรศาสตร์/ศิลปกรรมศาสตร์,ปริญญาตรี,1,1.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Deep Purple,43690,43690,24,2326,55824
Wait Welcome Call,มหาวิทยาลัยรังสิต,อักษรศาสตร์/ศิลปกรรมศาสตร์,ปริญญาตรี,1,2.0,Smart Phone,iPhone 13,128GB,Starlight,28500,28500,24,1566.66,37599.84
Wait Welcome Call,มหาวิทยาลัยรังสิต,อักษรศาสตร์/ศิลปกรรมศาสตร์,ปริญญาตรี,1,1.0,Smart Phone,iPhone 14 Plus,128GB,Starlight,37900,37900,24,2147.67,51544.08
Wait Welcome Call,มหาวิทยาลัยรังสิต,เกษตรศาสตร์/ประมง/สิ่งแวดล้อม/ทรัพยากร/วนศาสตร์,ปริญญาตรี,1,1.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Gold,43690,43690,24,2330.13,55923.12
Overdue 1,มหาวิทยาลัยรังสิต,เทคนิคการแพทย์/รังสีเทคนิค/สหเวช/จิตวิทยา/กายภาพบำบัด,ปริญญาตรี,1,1.0,Smart Phone,iPhone 14 Pro + 20W USB-C Power Adapter,128GB,Silver,41090,41090,24,2191.47,52595.28
Wait Welcome Call,มหาวิทยาลัยรังสิต,เทคนิคการแพทย์/รังสีเทคนิค/สหเวช/จิตวิทยา/กายภาพบำบัด,ปริญญาตรี,1,1.0,Tablet,iPad Air 10.9-inch Wi-Fi (5th Gen),256GB,Starlight,27900,32490,24,1841.1,44186.4
Wait Welcome Call,มหาวิทยาลัยรังสิต,เภสัชศาสตร,ปริญญาตรี,4,1.0,Tablet,iPad Air 10.9-inch Wi-Fi (5th Gen),256GB,Space Gray,27900,32490,24,1841.1,44186.4
Wait Welcome Call,มหาวิทยาลัยรังสิต,เศรษฐศาสตร์,ปริญญาตรี,2,1.0,Smart Phone,iPhone 11 (New Box) 64GB,64GB,Black,16900,16900,9,1891.94,17027.46
Wait Welcome Call,มหาวิทยาลัยหอการค้าไทย,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,1,1.0,Smart Phone,iPhone 11 (New Box) 128GB,128GB,Black,19200,19200,24,1088,26112
Wait Welcome Call,มหาวิทยาลัยหอการค้าไทย,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,3,1.0,Tablet,iPad Air 10.9-inch Wi-Fi (5th Gen),64GB,Space Gray,21900,21900,24,1241,29784
Wait Welcome Call,มหาวิทยาลัยหอการค้าไทย,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,3,1.0,Smart Phone,iPhone 13,128GB,Starlight,28500,28500,24,1615,38760
Overdue 1,มหาวิทยาลัยหอการค้าไทย,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,4,1.0,Tablet,iPad 10.2-inch Wi-Fi (9th Gen),64GB,Space Gray,9900,13200,12,1159.16,13909.92
Wait Welcome Call,มหาวิทยาลัยหอการค้าไทย,นิเทศศาสตร์/สื่อสารมวลชน/ออกแบบนิเทศศิลป์,ปริญญาตรี,1,1.0,Smart Phone,iPhone 13,128GB,Green,28500,28500,24,1425,34200
Overdue 1,มหาวิทยาลัยหอการค้าไทย,บริหารธุรกิจ,ปริญญาตรี,2,2.0,Smart Phone,iPhone 13,128GB,Pink,28500,28500,24,1425,34200
Overdue 1,มหาวิทยาลัยหอการค้าไทย,บริหารธุรกิจ,ปริญญาตรี,3,1.0,Tablet,iPad 10.9-inch Wi-Fi 2022 (10th Gen),64GB,Pink,16700,20159,12,1637.92,19655.04
Overdue 1,มหาวิทยาลัยหอการค้าไทย,บริหารธุรกิจ,ปริญญาตรี,3,2.0,Smart Phone,Galaxy A53 (5G),128GB,Awesome Black,12999,12999,12,1056.16,12673.92
Wait Welcome Call,มหาวิทยาลัยหอการค้าไทย,บัญชี,ปริญญาตรี,2,1.0,Smart Phone,iPhone 14,256GB,Midnight,35200,35200,24,1994.66,47871.84
Overdue 1,มหาวิทยาลัยหอการค้าไทย,บัญชี,ปริญญาตรี,2,1.0,Smart Phone,iPhone 14 Plus,128GB,Midnight,37900,37900,24,2093.34,50240.16
Overdue 1,มหาวิทยาลัยหอการค้าไทย,บัญชี,ปริญญาตรี,1,2.0,Smart Phone,iPhone 13,128GB,Midnight,28500,28500,18,1951.46,35126.28
Wait Welcome Call,มหาวิทยาลัยหอการค้าไทย,บัญชี,ปริญญาตรี,2,1.0,Smart Phone,iPhone 14 Plus,128GB,Starlight,37900,37900,24,2147.67,51544.08
Wait Welcome Call,มหาวิทยาลัยหอการค้าไทย,มนุษศาสตร์/สังคมศาสตร์/สังคมสงเคราะห์,ปริญญาตรี,5,1.0,Smart Phone,iPhone 14,128GB,Purple,31200,31200,24,1560,37440
Wait Welcome Call,มหาวิทยาลัยหอการค้าไทย,มนุษศาสตร์/สังคมศาสตร์/สังคมสงเคราะห์,ปริญญาตรี,2,3.0,Smart Phone,iPhone 13,128GB,Pink,28500,28500,9,2909.37,26184.33
Overdue 1,มหาวิทยาลัยหอการค้าไทย,มนุษศาสตร์/สังคมศาสตร์/สังคมสงเคราะห์,ปริญญาตรี,1,1.0,Smart Phone,iPhone 11 (New Box) 64GB,64GB,White,16900,16900,24,845,20280
Wait Welcome Call,มหาวิทยาลัยหอการค้าไทย,วิทยาศาสตร์และเทคโนโลยี/วิทยาการคอม,ปริญญาตรี,2,3.0,Smart Phone,iPhone 14 Plus,128GB,Red,37900,37900,18,2595.1,46711.8
Wait Welcome Call,มหาวิทยาลัยหอการค้าไทย,วิศวกรรมศาสตร์​,ปริญญาตรี,2,1.0,Smart Phone,iPhone 14 Pro + 20W USB-C Power Adapter,128GB,Space Black,40690,40690,18,2069.48,37250.64
Overdue 1,มหาวิทยาลัยหอการค้าไทย,วิศวกรรมศาสตร์​,,1,3.0,Smart Phone,iPhone SE 2022 (3rd Generation),64GB,Midnight,17900,19890,12,1831.54,21978.48
Wait Welcome Call,มหาวิทยาลัยหอการค้าไทย,เศรษฐศาสตร์,ปริญญาตรี,1,1.0,Smart Phone,iPhone 14 Plus,128GB,Blue,37900,37900,24,2147.67,51544.08
Wait Welcome Call,มหาวิทยาลัยหอการค้าไทย,เศรษฐศาสตร์,ปริญญาตรี,1,1.0,Smart Phone,iPhone 14 Plus,128GB,Starlight,37900,37900,24,2147.67,51544.08
Wait Welcome Call,มหาวิทยาลัยหอการค้าไทย,เศรษฐศาสตร์,ปริญญาโท,2,3.0,Smart Phone,iPhone 14,128GB,Blue,31200,31200,18,2136.33,38453.94
Wait Welcome Call,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,4,3.0,Smart Phone,iPhone 14 Plus,128GB,Purple,37900,37900,24,2147.67,51544.08
Wait Welcome Call,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,4,1.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,256GB,Gold,47690,47690,18,2819.45,50750.1
Wait Welcome Call,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,3,3.0,Smart Phone,iPhone 14,128GB,Starlight,31200,31200,24,1768,42432
Wait Welcome Call,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,3,1.0,Smart Phone,iPhone 13,128GB,Starlight,28500,28500,24,1300,31200
Wait Welcome Call,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,1,1.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Deep Purple,43690,43690,24,2330.13,55923.12
Wait Welcome Call,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,4,1.0,Smart Phone,iPhone 14,128GB,Blue,31200,31200,24,1246.67,29920.08
Wait Welcome Call,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,3,1.0,Smart Phone,iPhone 13,128GB,Blue,28500,28500,12,2624.38,31492.56
Wait Welcome Call,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,4,1.0,Smart Phone,iPhone 11 (New Box) 64GB,64GB,White,16900,16900,24,957.67,22984.08
Wait Welcome Call,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,3,1.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,256GB,Space Black,47690,47690,18,2819.45,50750.1
Overdue 1,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,2,1.0,Smart Phone,iPhone 11 (New Box) 128GB,128GB,White,19200,19200,24,1088,26112
Overdue 1,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,4,3.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Deep Purple,43690,43690,18,2311.14,41600.52
Wait Welcome Call,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,2,1.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Gold,43690,43690,18,2815.58,50680.44
Wait Welcome Call,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,3,1.0,Smart Phone,iPhone 13,128GB,Pink,28500,28500,12,2624.38,31492.56
Wait Welcome Call,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,3,1.0,Smart Phone,iPhone 11 (New Box) 128GB,128GB,Black,19200,19200,9,2221.33,19991.97
Wait Welcome Call,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,4,3.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Deep Purple,43690,43690,24,2246,53904
Overdue 1,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,3,1.0,Smart Phone,iPhone 13,128GB,Starlight,28500,28500,24,1615,38760
Overdue 1,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,1,1.0,Tablet,iPad 10.9-inch Wi-Fi 2022 (10th Gen),64GB,Blue,16700,22749,12,1848.36,22180.32
Wait Welcome Call,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,3,3.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Deep Purple,43690,43690,18,2230.59,40150.62
Overdue 1,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,1,1.0,Smart Phone,iPhone 14 Pro + 20W USB-C Power Adapter,128GB,Deep Purple,40690,40690,18,2552.81,45950.58
Overdue 1,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การสื่อสารดิจิทัล/มัลติมีเดีย/คอมพิวเตอร์กราฟฟิก/แฟชั่นและสิ่งทอ/เทคโนโลยีสารสนเทศ,ปริญญาตรี,3,1.0,Tablet,iPad Air 10.9-inch Wi-Fi (5th Gen),256GB,Purple,24900,28490,12,2623.46,31481.52
Overdue 1,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การสื่อสารดิจิทัล/มัลติมีเดีย/คอมพิวเตอร์กราฟฟิก/แฟชั่นและสิ่งทอ/เทคโนโลยีสารสนเทศ,ปริญญาตรี,3,1.0,Smart Phone,iPhone 13,128GB,Starlight,28500,28500,24,1615,38760
Wait Welcome Call,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การสื่อสารดิจิทัล/มัลติมีเดีย/คอมพิวเตอร์กราฟฟิก/แฟชั่นและสิ่งทอ/เทคโนโลยีสารสนเทศ,ปริญญาตรี,3,1.0,Tablet,iPad Air 10.9-inch Wi-Fi + Cellular (5th Gen),256GB,Pink,33900,36890,18,2525.94,45466.92
Wait Welcome Call,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การสื่อสารดิจิทัล/มัลติมีเดีย/คอมพิวเตอร์กราฟฟิก/แฟชั่นและสิ่งทอ/เทคโนโลยีสารสนเทศ,ปริญญาตรี,2,1.0,Tablet,iPad Air 10.9-inch Wi-Fi (5th Gen),64GB,Blue,21900,26490,18,1731.14,31160.52
Overdue 1,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การสื่อสารดิจิทัล/มัลติมีเดีย/คอมพิวเตอร์กราฟฟิก/แฟชั่นและสิ่งทอ/เทคโนโลยีสารสนเทศ,ปริญญาตรี,2,1.0,Laptop,MacBook Air 13 : M2 chip 8C CPU/8C GPU/8GB - 2022,256GB,Midnight,40400,40400,24,2154.67,51712.08
Wait Welcome Call,มหาวิทยาลัยศรีปทุม วิทยาเขตบางเขน,การสื่อสารดิจิทัล/มัลติมีเดีย/คอมพิวเตอร์กราฟฟิก/แฟชั่นและสิ่งทอ/เทคโนโลยีสารสนเทศ,ปริญญาตรี,1,1.0,Tablet,iPad Air 10.9-inch Wi-Fi (5th Gen),256GB,Purple,27900,27900,24,1581,37944
